iso,country,dog_vax_usd,deaths_per_100k,pep_costs_usd,deaths,human_pop_2010,
LUX,Luxembourg,"23,382",#VALUE!,0,NA,"492,000",
MLT,Malta,"11,712",0.000000,0,0,"408,000",
MCO,Monaco,"1,573",#VALUE!,0,NA,"33,105",
NLD,Netherlands,"791,438",#VALUE!,0,NA,"16,653,000",
NOR,Norway,"230,830",#VALUE!,0,NA,"4,857,000",
POL,Poland,"3,649,651",0.001306,"8,177,410",0,"38,038,000",
PRT,Portugal,"510,088",#VALUE!,0,NA,"10,733,000",
MDA,Moldova,"106,417",0.022408,"541,183",1,"3,707,000",
ROU,Romania,"608,301",0.003893,"2,714,825",1,"21,190,000",
SMR,San Marino,"1,388",#VALUE!,0,NA,"29,198",
SRB,Serbia and Montenegro,"302,141",0.000863,"197,088",0,"10,525,000",
SVK,Slovakia,"155,334",0.001925,"966,120",0,"5,411,000",
SVN,Slovenia,"58,132",0.000990,"320,731",0,"2,025,000",
ESP,Spain,"2,153,702",#VALUE!,0,NA,"45,317,000",
SWE,Sweden,"441,700",#VALUE!,0,NA,"9,294,000",
CHE,Switzerland,"361,049",#VALUE!,0,NA,"7,597,000",
MKD,The former Yugoslav Republic of Macedonia,"58,591",0.007868,"299,788",0,"2,041,000",
UKR,Ukraine,"1,304,331",0.004264,"1,890,313",2,"45,436,000",
GBR,United Kingdom,"2,941,765",#VALUE!,0,NA,"61,899,000",
AUS,Australia,0,#VALUE!,0,NA,"21,511,000",
COK,Cook Islands,0,#VALUE!,0,NA,"18,027",
FJI,Fiji,0,#VALUE!,0,NA,"854,000",
KIR,Kiribati,0,#VALUE!,0,NA,"100,059",
MHL,Marshall Islands,0,#VALUE!,0,NA,"63,391",
FSM,Micronesia (Federated States of),0,#VALUE!,0,NA,"113,000",
NRU,Nauru,0,#VALUE!,0,NA,"10,300",
NZL,New Zealand,0,#VALUE!,0,NA,"4,304,000",
NIU,Niue,0,#VALUE!,0,NA,"1,591",
PLW,Palau,0,#VALUE!,0,NA,"20,318",
PNG,Papua New Guinea,0,#VALUE!,0,NA,"6,890,000",
WSM,Samoa,0,#VALUE!,0,NA,"181,000",
SLB,Solomon Islands,0,#VALUE!,0,NA,"534,000",
TON,Tonga,0,#VALUE!,0,NA,"104,000",
TUV,Tuvalu,0,#VALUE!,0,NA,"9,885",
VUT,Vanuatu,0,#VALUE!,0,NA,"246,000",
